,pizza_id,pizza_name,pizza_size,pizza_category,pizza_ingredients
1,classic_dlx_m,The Classic Deluxe Pizza,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
2,five_cheese_l,The Five Cheese Pizza,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
3,ital_supr_l,The Italian Supreme Pizza,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
5,thai_ckn_l,The Thai Chicken Pizza,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
6,ital_supr_m,The Italian Supreme Pizza,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
14,classic_dlx_s,The Classic Deluxe Pizza,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
15,green_garden_s,The Green Garden Pizza,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
16,ital_cpcllo_l,The Italian Capocollo Pizza,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
20,spicy_ital_l,The Spicy Italian Pizza,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
23,mexicana_l,The Mexicana Pizza,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
24,southw_ckn_l,The Southwest Chicken Pizza,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
25,bbq_ckn_l,The Barbecue Chicken Pizza,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
26,cali_ckn_l,The California Chicken Pizza,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
27,cali_ckn_m,The California Chicken Pizza,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
28,pepperoni_l,The Pepperoni Pizza,L,Classic,"Mozzarella Cheese, Pepperoni"
35,big_meat_s,The Big Meat Pizza,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
39,four_cheese_l,The Four Cheese Pizza,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
45,four_cheese_m,The Four Cheese Pizza,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
54,sicilian_l,The Sicilian Pizza,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
62,bbq_ckn_m,The Barbecue Chicken Pizza,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
64,pepperoni_m,The Pepperoni Pizza,M,Classic,"Mozzarella Cheese, Pepperoni"
77,pepperoni_s,The Pepperoni Pizza,S,Classic,"Mozzarella Cheese, Pepperoni"
93,hawaiian_s,The Hawaiian Pizza,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
104,ckn_alfredo_m,The Chicken Alfredo Pizza,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
106,peppr_salami_l,The Pepper Salami Pizza,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
124,hawaiian_l,The Hawaiian Pizza,L,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
127,pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",S,Classic,"Pepperoni, Mushrooms, Green Peppers"
129,prsc_argla_m,The Prosciutto and Arugula Pizza,M,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
151,sicilian_s,The Sicilian Pizza,S,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
194,veggie_veg_m,The Vegetables + Vegetables Pizza,M,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
